ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
SS006,SS006.Q110,,2026-01-09,2,B1.16,,CK
SS006,SS006.Q110,,2026-01-09,2,B3.14,,CK
SS006,SS006.Q111,,2026-01-09,2,B4.14,,CK
SS006,SS006.Q12,,2026-01-09,2,B3.10,,CK
SS006,SS006.Q12,,2026-01-09,2,B3.12,,CK
SS006,SS006.Q12,,2026-01-09,2,B5.14,,CK
SS006,SS006.Q13,,2026-01-09,2,B6.02,,CK
SS006,SS006.Q13,,2026-01-09,2,B6.12,,CK
SS006,SS006.Q14,,2026-01-09,2,B3.16,,CK
SS006,SS006.Q14,,2026-01-09,2,B3.18,,CK
SS006,SS006.Q14,,2026-01-09,2,B6.04,,CK
SS006,SS006.Q15,,2026-01-09,2,B1.22,,CK
SS006,SS006.Q15,,2026-01-09,2,B6.06,,CK
SS006,SS006.Q16,,2026-01-09,2,B3.20,,CK
SS006,SS006.Q16,,2026-01-09,2,B3.22,,CK
SS006,SS006.Q17,,2026-01-09,2,B4.20,,CK
SS006,SS006.Q17,,2026-01-09,2,B4.22,,CK
SS006,SS006.Q18,,2026-01-09,2,B4.16,,CK
SS006,SS006.Q18,,2026-01-09,2,B9.02,,CK
SS006,SS006.Q19,,2026-01-09,2,B4.18,,CK
SS006,SS006.Q19,,2026-01-09,2,B7.02,,CK
SS009,SS009.Q11,,2026-01-09,3,B1.20,,CK
SS009,SS009.Q11,,2026-01-09,3,B1.22,,CK
SS009,SS009.Q12,,2026-01-09,3,B3.20,,CK
SS009,SS009.Q12,,2026-01-09,3,B3.22,,CK
SS009,SS009.Q13,,2026-01-09,3,B3.10,,CK
SS009,SS009.Q13,,2026-01-09,3,B3.12,,CK
SS009,SS009.Q13,,2026-01-09,3,B3.14,,CK
SS009,SS009.Q14,,2026-01-09,3,B6.02,,CK
SS009,SS009.Q14,,2026-01-09,3,B6.04,,CK
SS009,SS009.Q14,,2026-01-09,3,B9.02,,CK
SS009,SS009.Q15,,2026-01-09,3,B6.06,,CK
SS009,SS009.Q15,,2026-01-09,3,B7.02,,CK
SS009,SS009.Q16,,2026-01-09,3,B4.20,,CK
SS009,SS009.Q16,,2026-01-09,3,B4.14,,CK
SS010,SS010.Q11,,2026-01-12,3,B1.10,,CK
SS010,SS010.Q11,,2026-01-12,3,B1.12,,CK
SS010,SS010.Q11,,2026-01-12,3,B3.10,,CK
SS010,SS010.Q11,,2026-01-12,3,B3.12,,CK
SS010,SS010.Q12,,2026-01-12,3,B4.10,,CK
SS010,SS010.Q12,,2026-01-12,3,B4.12,,CK
SS010,SS010.Q12,,2026-01-12,3,B1.16,,CK
SS010,SS010.Q12,,2026-01-12,3,B1.18,,CK
SS010,SS010.Q13,,2026-01-12,3,B1.14,,CK
SS010,SS010.Q13,,2026-01-12,3,B4.14,,CK
SS010,SS010.Q14,,2026-01-12,3,B6.06,,CK
SS010,SS010.Q14,,2026-01-12,3,B7.02,,CK
SS010,SS010.Q15,,2026-01-12,3,B4.20,,CK
SS010,SS010.Q15,,2026-01-12,3,B4.22,,CK
SS010,SS010.Q15,,2026-01-12,3,B3.22,,CK
SS010,SS010.Q16,,2026-01-12,3,B3.20,,CK
SS010,SS010.Q16,,2026-01-12,3,B3.16,,CK
SS010,SS010.Q16,,2026-01-12,3,B3.18,,CK
SS003,SS003.Q11,,2026-01-14,3,B3.20,,CK
SS003,SS003.Q11,,2026-01-14,3,B3.22,,CK
SS003,SS003.Q11,,2026-01-14,3,B3.18,,CK
SS003,SS003.Q12,,2026-01-14,3,B4.14,,CK
SS003,SS003.Q12,,2026-01-14,3,B1.14,,CK
SS003,SS003.Q13,,2026-01-14,3,B3.10,,CK
SS003,SS003.Q13,,2026-01-14,3,B3.12,,CK
SS003,SS003.Q13,,2026-01-14,3,B3.16,,CK
SS003,SS003.Q14,,2026-01-14,3,B1.16,,CK
SS003,SS003.Q14,,2026-01-14,3,B1.18,,CK
SS003,SS003.Q14,,2026-01-14,3,B1.20,,CK
SS003,SS003.Q15,,2026-01-14,3,B1.22,,CK
SS003,SS003.Q15,,2026-01-14,3,B3.14,,CK
SS003,SS003.Q16,,2026-01-14,3,B6.06,,CK
SS008,SS008.Q11,,2026-01-19,2,B1.20,,CK
SS008,SS008.Q11,,2026-01-19,2,B1.22,,CK
SS008,SS008.Q11,,2026-01-19,2,B1.18,,CK
SS008,SS008.Q11.CTLK,,2026-01-19,2,B1.08,,CK
SS008,SS008.Q12,,2026-01-19,2,B3.20,,CK
SS008,SS008.Q12,,2026-01-19,2,B3.22,,CK
SS008,SS008.Q12,,2026-01-19,2,B3.18,,CK
SS008,SS008.Q13,,2026-01-19,2,B4.14,,CK
SS008,SS008.Q13,,2026-01-19,2,B6.06,,CK
SS008,SS008.Q14,,2026-01-19,2,B4.20,,CK
SS008,SS008.Q14,,2026-01-19,2,B4.22,,CK
SS008,SS008.Q14,,2026-01-19,2,B4.18,,CK
SS008,SS008.Q15,,2026-01-19,2,B4.16,,CK
SS008,SS008.Q15,,2026-01-19,2,B5.10,,CK
SS008,SS008.Q15,,2026-01-19,2,B5.12,,CK
SS008,SS008.Q16,,2026-01-19,2,B7.04,,CK
SS008,SS008.Q16,,2026-01-19,2,B7.02,,CK
