ma_mon_hoc,ma_lop,ma_giang_vien,ngay_thi,ca_thi,phong_thi,hinh_thuc_thi,gk_ck
IS336,IS336.Q12,,2026-01-20,3,B3.18,,CK
IS336,IS336.Q13,,2026-01-20,3,B1.20,,CK
IS336,IS336.Q13,,2026-01-20,3,B1.22,,CK
EC312,EC312.Q11,,2026-01-21,1,B4.14,,CK
EC312,EC312.Q12,,2026-01-21,1,B3.14,,CK
IS405,IS405.Q11,,2026-01-21,1,B4.10,,CK
CS5423,CS5423.Q11.CTTT,,2026-01-21,3,B1.20,,CK
CSBU111,CSBU111.Q11.KHBC,,2026-01-05,2,B1.22,,CK
CSBU102,CSBU102.Q11.KHBC,,2026-01-06,2,B1.20,,CK
CS311,CS311.Q11,,2026-01-07,3,B3.14,,CK
CS311,CS311.Q12,,2026-01-07,3,B3.16,,CK
CSBU110,CSBU110.Q11.KHBC,,2026-01-08,1,B1.20,,CK
IT001,IT001.Q11,,2026-01-08,2,B1.10,,CK
