ma_mon_hoc,ma_mon_hoc_dieu_kien,loai_dieu_kien
IS207,IT004,truoc
IS210,IT004,truoc
IS211,IT004,truoc
IS211,IT005,truoc
IS215,IT002,truoc
IS215,IT004,truoc
IS216,IT004,truoc
IS217,IT004,truoc
IS232,IS336,truoc
IS251,IT004,truoc
IS252,MA005,truoc
IS252,IT004,truoc
IS332,IS201,truoc
IS335,IT007,truoc
IS335,IT005,truoc
IS335,IT004,truoc
IS351,IS251,truoc
IS352,IT004,truoc
IS352,IS251,truoc
IS353,IT004,truoc
IS353,MA004,truoc
IS402,IT005,truoc
IS402,IT007,truoc
IS403,MA005,truoc
IS403,IT004,truoc
IS405,IT004,truoc
IT002,IT001,truoc
IT003,IT001,truoc
IT006,PH002,truoc
IT006,IT001,truoc
IT007,IT006,truoc
IT008,IT001,truoc
IT008,IT002,truoc
JAN02,JAN01,truoc
JAN03,JAN02,truoc
JAN04,JAN03,truoc
JAN05,JAN04,truoc
JAN06,JAN05,truoc
JAN07,JAN06,truoc
JAN08,JAN07,truoc
MA005,MA006,truoc
MATH2153,MATH2144,truoc
MKTG5883,CS5423,truoc
MSIS207,CS5423,truoc
MSIS207,CS2134,truoc
MSIS2433,CS2134,truoc
MSIS3233,MATH2154,truoc
MSIS3243,MATH2153,truoc
MSIS3303,CS5423,truoc
MSIS4013,CS5423,truoc
NT101,IT005,truoc
NT104,IT001,truoc
NT105,IT005,truoc
NT106,IT005,truoc
NT106,IT001,truoc
NT109,IT004,truoc
NT109,NT106,truoc
NT111,IT005,truoc
NT113,NT132,truoc
NT118,IT002,truoc
NT131,IT007,truoc
NT132,IT005,truoc
NT133,IT006,truoc
NT133,IT007,truoc
NT140,IT005,truoc
NT205,NT101,truoc
NT207,NT101,truoc
NT208,IT002,truoc
NT208,IT004,truoc
NT209,IT006,truoc
NT209,IT001,truoc
NT210,IT005,truoc
NT210,NT106,truoc
NT212,NT101,truoc
NT212,IT004,truoc
NT213,NT208,truoc
NT230,IT007,truoc
NT230,NT101,truoc
NT303,NT105,truoc
NT310,NT101,truoc
NT311,NT101,truoc
NT312,NT101,truoc
NT330,NT101,truoc
NT331,IT005,truoc
NT331,NT101,truoc
NT332,IT005,truoc
NT333,IT005,truoc
NT333,NT106,truoc
NT402,NT105,truoc
NT405,NT101,truoc
NT405,IT005,truoc
NT504,NT114,truoc
NT504,NT117,truoc
NT521,IT002,truoc
NT521,NT209,truoc
NT523,MA003,truoc
NT531,NT132,truoc
NT533,IT005,truoc
NT534,NT101,truoc
NT535,NT101,truoc
NT538,IT005,truoc
NT539,IT005,truoc
NT540,NT105,truoc
NT542,NT132,truoc
NT543,NT105,truoc
NT544,NT105,truoc
NT545,NT402,truoc
NT546,NT113,truoc
NT548,IT005,truoc
PHYS1214,PHYS1114,truoc
SE100,SE104,truoc
SE100,IT008,truoc
SE101,IT001,truoc
SE101,IT002,truoc
SE101,IT003,truoc
SE102,IT001,truoc
SE104,IT002,truoc
SE104,IT004,truoc
SE106,IT001,truoc
SE106,IT003,truoc
SE106,SE104,truoc
SE106,IT002,truoc
SE109,SE104,truoc
SE111,IT001,truoc
SE111,IT002,truoc
SE111,IT003,truoc
SE111,IT004,truoc
SE111,SE104,truoc
SE112,IT002,truoc
SE112,IT003,truoc
SE112,IT004,truoc
SE112,SE104,truoc
SE113,SE104,truoc
SE114,IT001,truoc
SE114,IT002,truoc
SE121,SE104,truoc
SE122,SE121,truoc
SE214,SE104,truoc
SE214,IT001,truoc
SE214,IT003,truoc
SE215,SE104,truoc
SE220,SE102,truoc
SE221,SE102,truoc
SE301,IT003,truoc
SE301,IT004,truoc
SE301,IT002,truoc
SE301,SE104,truoc
SE301,SE109,truoc
SE301,IT001,truoc
SE310,IT008,truoc
SE313,IT002,truoc
SE313,IT003,truoc
SE313,IT001,truoc
SE320,SE102,truoc
SE325,IT002,truoc
SE325,IT003,truoc
SE325,IT004,truoc
SE327,SE102,truoc
SE328,IT002,truoc
SE328,IT003,truoc
SE328,SE102,truoc
SE329,SE102,truoc
SE330,IT001,truoc
SE330,IT002,truoc
SE331,IT004,truoc
SE331,SE104,truoc
SE332,IT004,truoc
SE334,IT001,truoc
SE341,IT001,truoc
SE341,IT002,truoc
SE341,IT004,truoc
SE343,SE347,truoc
SE344,IT001,truoc
SE344,SE346,truoc
SE346,IT001,truoc
SE346,IT008,truoc
SE347,IT001,truoc
SE347,IT002,truoc
SE347,IT004,truoc
SE348,SE331,truoc
SE351,IT001,truoc
SE351,IT002,truoc
SE351,IT003,truoc
SE352,SE102,truoc
SE355,IT003,truoc
SE356,SE104,truoc
SE356,SE100,truoc
SE357,SE104,truoc
SE358,SE104,truoc
SE400,SE100,truoc
SE400,SE104,truoc
SE401,SE100,truoc
SE405,SE114,truoc
SE406,SE100,truoc
SE407,SE114,truoc
SE505,SE122,truoc
SE506,SE122,truoc
SE507,SE122,truoc
STAT3013,STAT4033,truoc
STAT4033,MATH3013,truoc
CE104,PH001,truoc
CE104,CE101,truoc
CE107,IT001,truoc
CE107,IT006,truoc
CE107,CE103,truoc
CE111,IT006,truoc
CE117,PH001,truoc
CE117,CE101,truoc
CE211,CE107,truoc
CE221,PH002,truoc
CE221,CE118,truoc
CE303,MA001,truoc
CE303,MA002,truoc
CE303,CE101,truoc
CE303,CE212,truoc
CE303,CE107,truoc
CE312,IT006,truoc
CE312,IT007,truoc
CE312,CE103,truoc
CE312,CE211,truoc
CE314,CE103,truoc
CE314,MA004,truoc
CE316,MA004,truoc
CE321,CE222,truoc
CE322,CE222,truoc
CE324,CE104,truoc
CE324,CE221,truoc
CE325,IT001,truoc
CE325,IT006,truoc
CE325,IT003,truoc
CE326,CE221,truoc
CE327,CE118,truoc
CE327,IT006,truoc
CE327,CE221,truoc
CE401,IT006,truoc
CE401,IT007,truoc
CE402,IT007,truoc
CE402,IT006,truoc
CE402,CE107,truoc
CE403,PH002,truoc
CE403,IT006,truoc
CE403,CE221,truoc
CS322,CS212,truoc
CS503,IT003,truoc
EN001,ENBT,tien_quyet
EN002,EN001,tien_quyet
EN003,EN002,tien_quyet
IS203,IT004,truoc
IS206,IT004,truoc
IS253,IT002,truoc
IS338,IS336,truoc
MA002,MA001,truoc
NT110,IT002,truoc
NT112,IT005,truoc
NT119,MA001,truoc
NT119,MA002,truoc
NT130,IT007,truoc
NT130,NT101,truoc
NT206,IT005,truoc
NT502,IT005,truoc
NT502,NT101,truoc
NT502,NT109,truoc
NT503,IT005,truoc
NT503,NT101,truoc
SE107,IT002,truoc
SE107,IT004,truoc
SE107,SE104,truoc
SE108,IT001,truoc
SE108,SE104,truoc
SE312,IT004,truoc
SE312,SE104,truoc
SE312,SE347,truoc
SE340,IT001,truoc
SE402,IT005,truoc
SE402,IT008,truoc
